carousel,topic,folder,slides,status
001,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_001_bumble-conversation-design,5,READY_TO_REVIEW
002,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_002_bumble-conversation-design,5,READY_TO_REVIEW
003,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_003_bumble-conversation-design,5,READY_TO_REVIEW
004,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_004_bumble-conversation-design,5,READY_TO_REVIEW
005,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_005_bumble-conversation-design,5,READY_TO_REVIEW
006,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_006_bumble-conversation-design,5,READY_TO_REVIEW
007,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_007_bumble-conversation-design,5,READY_TO_REVIEW
008,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_008_bumble-conversation-design,5,READY_TO_REVIEW
009,BUMBLE CONVERSATION DESIGN,output\carousels\carousel_009_bumble-conversation-design,5,READY_TO_REVIEW
010,RELATIONSHIP TRANSITION,output\carousels\carousel_010_relationship-transition,5,READY_TO_REVIEW
011,RELATIONSHIP TRANSITION,output\carousels\carousel_011_relationship-transition,5,READY_TO_REVIEW
012,COURSE PHILOSOPHY,output\carousels\carousel_012_course-philosophy,5,READY_TO_REVIEW
013,COURSE PHILOSOPHY,output\carousels\carousel_013_course-philosophy,5,READY_TO_REVIEW
014,PLAYFUL TENSION AND TEASING,output\carousels\carousel_014_playful-tension-and-teasing,5,READY_TO_REVIEW
015,PLAYFUL TENSION AND TEASING,output\carousels\carousel_015_playful-tension-and-teasing,5,READY_TO_REVIEW
016,PLAYFUL TENSION AND TEASING,output\carousels\carousel_016_playful-tension-and-teasing,5,READY_TO_REVIEW
017,BODY LANGUAGE AND NONVERBAL SIGNALS,output\carousels\carousel_017_body-language-and-nonverbal-signals,5,READY_TO_REVIEW
018,BODY LANGUAGE AND NONVERBAL SIGNALS,output\carousels\carousel_018_body-language-and-nonverbal-signals,5,READY_TO_REVIEW
019,SOCIAL MARKET VALUE FRAMEWORK,output\carousels\carousel_019_social-market-value-framework,5,READY_TO_REVIEW
020,SOCIAL MARKET VALUE FRAMEWORK,output\carousels\carousel_020_social-market-value-framework,5,READY_TO_REVIEW
