content_id,filename,bytes,mib
david_mixed_0001,david_mixed_0001.mp4,1749127,1.668
david_mixed_0002,david_mixed_0002.mp4,1703726,1.625
david_mixed_0003,david_mixed_0003.mp4,1773801,1.692
david_mixed_0004,david_mixed_0004.mp4,1787413,1.705
david_mixed_0005,david_mixed_0005.mp4,1760482,1.679
david_mixed_0006,david_mixed_0006.mp4,1611536,1.537
david_mixed_0007,david_mixed_0007.mp4,1768230,1.686
david_mixed_0008,david_mixed_0008.mp4,1619347,1.544
david_mixed_0009,david_mixed_0009.mp4,1791873,1.709
david_mixed_0010,david_mixed_0010.mp4,1733949,1.654
david_mixed_0011,david_mixed_0011.mp4,1720490,1.641
david_mixed_0012,david_mixed_0012.mp4,1742764,1.662
david_mixed_0013,david_mixed_0013.mp4,1701568,1.623
david_mixed_0014,david_mixed_0014.mp4,1667766,1.591
david_mixed_0015,david_mixed_0015.mp4,1614980,1.54
david_mixed_0016,david_mixed_0016.mp4,1736046,1.656
david_mixed_0017,david_mixed_0017.mp4,1814229,1.73
david_mixed_0018,david_mixed_0018.mp4,1661804,1.585
david_mixed_0019,david_mixed_0019.mp4,1818556,1.734
david_mixed_0020,david_mixed_0020.mp4,1663292,1.586
david_mixed_0021,david_mixed_0021.mp4,1699957,1.621
david_mixed_0022,david_mixed_0022.mp4,1740005,1.659
david_mixed_0023,david_mixed_0023.mp4,1765341,1.684
david_mixed_0024,david_mixed_0024.mp4,1752202,1.671
david_mixed_0025,david_mixed_0025.mp4,1755353,1.674
david_mixed_0026,david_mixed_0026.mp4,1703477,1.625
david_mixed_0027,david_mixed_0027.mp4,1606485,1.532
david_mixed_0028,david_mixed_0028.mp4,1714353,1.635
david_mixed_0029,david_mixed_0029.mp4,1716775,1.637
david_mixed_0030,david_mixed_0030.mp4,1698596,1.62
david_mixed_0031,david_mixed_0031.mp4,1714395,1.635
david_mixed_0032,david_mixed_0032.mp4,1706768,1.628
david_mixed_0033,david_mixed_0033.mp4,1720568,1.641
david_mixed_0034,david_mixed_0034.mp4,1701695,1.623
david_mixed_0035,david_mixed_0035.mp4,1787084,1.704
david_mixed_0036,david_mixed_0036.mp4,1589167,1.516
david_mixed_0037,david_mixed_0037.mp4,1789836,1.707
david_mixed_0038,david_mixed_0038.mp4,1681949,1.604
david_mixed_0039,david_mixed_0039.mp4,1627594,1.552
david_mixed_0040,david_mixed_0040.mp4,1756072,1.675
david_mixed_0041,david_mixed_0041.mp4,1748933,1.668
david_mixed_0042,david_mixed_0042.mp4,1747112,1.666
david_mixed_0043,david_mixed_0043.mp4,1738312,1.658
david_mixed_0044,david_mixed_0044.mp4,1676522,1.599
david_mixed_0045,david_mixed_0045.mp4,1741874,1.661
david_mixed_0046,david_mixed_0046.mp4,1727967,1.648
david_mixed_0047,david_mixed_0047.mp4,1708914,1.63
david_mixed_0048,david_mixed_0048.mp4,1716377,1.637
david_mixed_0049,david_mixed_0049.mp4,1788932,1.706
david_mixed_0050,david_mixed_0050.mp4,1593764,1.52
