content_id,filename,bytes,mib
david_mixed_0001,david_mixed_0001.mp4,1261972,1.204
david_mixed_0002,david_mixed_0002.mp4,1145631,1.093
david_mixed_0003,david_mixed_0003.mp4,1360043,1.297
david_mixed_0004,david_mixed_0004.mp4,1306827,1.246
david_mixed_0005,david_mixed_0005.mp4,1285106,1.226
david_mixed_0006,david_mixed_0006.mp4,1293038,1.233
david_mixed_0007,david_mixed_0007.mp4,1260386,1.202
david_mixed_0008,david_mixed_0008.mp4,1339643,1.278
david_mixed_0009,david_mixed_0009.mp4,1260661,1.202
david_mixed_0010,david_mixed_0010.mp4,1283634,1.224
david_mixed_0011,david_mixed_0011.mp4,1278602,1.219
david_mixed_0012,david_mixed_0012.mp4,1288766,1.229
david_mixed_0013,david_mixed_0013.mp4,1340028,1.278
david_mixed_0014,david_mixed_0014.mp4,1252502,1.194
david_mixed_0015,david_mixed_0015.mp4,1262168,1.204
david_mixed_0016,david_mixed_0016.mp4,1182367,1.128
david_mixed_0017,david_mixed_0017.mp4,1307069,1.247
david_mixed_0018,david_mixed_0018.mp4,1286035,1.226
david_mixed_0019,david_mixed_0019.mp4,1317486,1.256
david_mixed_0020,david_mixed_0020.mp4,1285087,1.226
david_mixed_0021,david_mixed_0021.mp4,1310721,1.25
david_mixed_0022,david_mixed_0022.mp4,1292197,1.232
david_mixed_0023,david_mixed_0023.mp4,1288630,1.229
david_mixed_0024,david_mixed_0024.mp4,1311839,1.251
david_mixed_0025,david_mixed_0025.mp4,1357524,1.295
david_mixed_0026,david_mixed_0026.mp4,1312638,1.252
david_mixed_0027,david_mixed_0027.mp4,1278331,1.219
david_mixed_0028,david_mixed_0028.mp4,1333278,1.272
david_mixed_0029,david_mixed_0029.mp4,1341601,1.279
david_mixed_0030,david_mixed_0030.mp4,1233099,1.176
david_mixed_0031,david_mixed_0031.mp4,1300779,1.241
david_mixed_0032,david_mixed_0032.mp4,1326748,1.265
david_mixed_0033,david_mixed_0033.mp4,1262204,1.204
david_mixed_0034,david_mixed_0034.mp4,1187723,1.133
david_mixed_0035,david_mixed_0035.mp4,1265369,1.207
david_mixed_0036,david_mixed_0036.mp4,1302320,1.242
david_mixed_0037,david_mixed_0037.mp4,1353545,1.291
david_mixed_0038,david_mixed_0038.mp4,1175486,1.121
david_mixed_0039,david_mixed_0039.mp4,1302029,1.242
david_mixed_0040,david_mixed_0040.mp4,1430269,1.364
david_mixed_0041,david_mixed_0041.mp4,1252154,1.194
david_mixed_0042,david_mixed_0042.mp4,1306134,1.246
david_mixed_0043,david_mixed_0043.mp4,1270047,1.211
david_mixed_0044,david_mixed_0044.mp4,1302036,1.242
david_mixed_0045,david_mixed_0045.mp4,1316557,1.256
david_mixed_0046,david_mixed_0046.mp4,1288491,1.229
david_mixed_0047,david_mixed_0047.mp4,1279157,1.22
david_mixed_0048,david_mixed_0048.mp4,1170411,1.116
david_mixed_0049,david_mixed_0049.mp4,1183252,1.128
david_mixed_0050,david_mixed_0050.mp4,1454716,1.387
